Date,Description,Debit,Credit,Balance,Category,SubCategory
27/08/2024,Foreign Currency Conversn Fee,0.89,,989.87,Fees & Charges,Fees & Charges
27/08/2024,Visa Purchase O/Seas          24Aug Usd19.95 Mmbill.Com,29.78,,990.76,Retail & Personal,Retail (shopping)
26/08/2024,Visa Purchase                 23Aug Beam Mobility Au     Internet,6.1,,1020.54,Bills & Payments,Telecommunications
23/08/2024,Visa Purchase                 20Aug Ebay O*14-11961-2727 Sydney,20.98,,1026.64,Retail & Personal,Retail (shopping)
23/08/2024,Internet Deposit              23Aug17:36 From 0280074494440,,1000,1047.62,Deposits,Deposit
14/08/2024,Foreign Currency Conversn Fee,1.59,,47.62,Fees & Charges,Fees & Charges
14/08/2024,Visa Purchase O/Seas          12Aug Usd34.99 Rg Crownbill.Com,53.31,,49.21,Retail & Personal,Retail (shopping)
12/08/2024,Eftpos Debit                  12Aug15:16 Ozt*The Angels - 50 No\,209.95,,102.52,Entertainment & Recreation,Sports & Leisure
10/08/2024,Foreign Currency Conversn Fee,0.46,,312.47,Fees & Charges,Fees & Charges
10/08/2024,Visa Purchase O/Seas          08Aug Usd9.99 Spred,15.35,,312.93,Retail & Personal,Retail (shopping)
7/08/2024,Visa Purchase                 04Aug Microsoft*Clipchamp  Msbill.In,17,,328.28,Entertainment & Recreation,TV
7/08/2024,Eftpos Debit                  07Aug11:37 Aussie Broadband Limited\,438.9,,345.28,Bills & Payments,Telecommunications
6/08/2024,Visa Purchase                 03Aug Giga Pty Limited     Sydney,46.67,,784.18,Entertainment & Recreation,Sports & Leisure
5/08/2024,Foreign Currency Conversn Fee,0.55,,830.85,Fees & Charges,Fees & Charges
5/08/2024,Visa Purchase O/Seas          01Aug Usd11.99 Rg Crownbill.Com,18.51,,831.4,Retail & Personal,Retail (shopping)
1/08/2024,Admin Happy 161194194,97.5,,849.91,Bills & Payments,Expenses & Payments
1/08/2024,Internet Withdrawal           01Aug09:37 To 1160084689040,2000,,947.41,Withdrawals & Transfers,Funds transfer
31/07/2024,Account-Keeping Fee,10,,2947.41,Fees & Charges,Fees & Charges
31/07/2024,Internet Withdrawal           31Jul13:36 To 0280074494440,12000,,2957.41,Withdrawals & Transfers,Funds transfer
30/07/2024,Fragile To Agile Inv-0032,,14410,14957.41,Deposits,Deposit
27/07/2024,Foreign Currency Conversn Fee,0.91,,547.41,Fees & Charges,Fees & Charges
27/07/2024,Visa Purchase O/Seas          24Jul Usd19.95 Mmbill.Com,30.34,,548.32,Retail & Personal,Retail (shopping)
26/07/2024,Visa Purchase                 23Jul Adobe                Adobe.Ly/,43.99,,578.66,Home & Property,Technology & Appliances
11/07/2024,Foreign Currency Conversn Fee,0.44,,622.65,Fees & Charges,Fees & Charges
11/07/2024,Visa Purchase O/Seas          09Jul Usd9.99 Spred,14.84,,623.09,Retail & Personal,Retail (shopping)
8/07/2024,Visa Purchase                 04Jul Giga Pty Limited     Sydney,46.67,,637.93,Entertainment & Recreation,Sports & Leisure
8/07/2024,Eftpos Debit                  08Jul11:37 Aussie Broadband Limited\,438.9,,684.6,Bills & Payments,Telecommunications
5/07/2024,Foreign Currency Conversn Fee,0.54,,1123.5,Fees & Charges,Fees & Charges
5/07/2024,Visa Purchase O/Seas          02Jul Usd11.99 Rg Crownbill.Com,18.05,,1124.04,Retail & Personal,Retail (shopping)
4/07/2024,Eftpos Debit                  04Jul21:12 Microsoft*Clipchamp 1 Mon\,17,,1142.09,Entertainment & Recreation,TV
1/07/2024,Admin Happy 158996220,97.5,,1159.09,Bills & Payments,Expenses & Payments
29/06/2024,Account-Keeping Fee,10,,1256.59,Fees & Charges,Fees & Charges
27/06/2024,Foreign Currency Conversn Fee,0.9,,1266.59,Fees & Charges,Fees & Charges
27/06/2024,Visa Purchase O/Seas          24Jun Usd19.95 Mmbill.Com,30.09,,1267.49,Retail & Personal,Retail (shopping)
26/06/2024,Visa Purchase                 23Jun Adobe                Adobe.Ly/,43.99,,1297.58,Home & Property,Technology & Appliances
11/06/2024,Foreign Currency Conversn Fee,0.45,,1341.57,Fees & Charges,Fees & Charges
11/06/2024,Visa Purchase O/Seas          09Jun Usd9.99 Spred,15.19,,1342.02,Retail & Personal,Retail (shopping)
8/06/2024,Visa Purchase                 04Jun Microsoft*Store      Msbill.In,12,,1357.21,Entertainment & Recreation,TV
7/06/2024,Visa Purchase                 04Jun Giga Pty Limited     Sydney,46.67,,1369.21,Entertainment & Recreation,Sports & Leisure
7/06/2024,Eftpos Debit                  07Jun11:37 Aussie Broadband Limited\,438.9,,1415.88,Bills & Payments,Telecommunications
4/06/2024,Foreign Currency Conversn Fee,0.54,,1854.78,Fees & Charges,Fees & Charges
4/06/2024,Visa Purchase O/Seas          01Jun Usd11.99 Rg Crownbill.Com,18.11,,1855.32,Retail & Personal,Retail (shopping)
3/06/2024,Admin Happy 157049913,92.5,,1873.43,Bills & Payments,Expenses & Payments
31/05/2024,Account-Keeping Fee,10,,1965.93,Fees & Charges,Fees & Charges
28/05/2024,Foreign Currency Conversn Fee,0.9,,1975.93,Fees & Charges,Fees & Charges
28/05/2024,Visa Purchase O/Seas          24May Usd19.95 Mmbill.Com,30.28,,1976.83,Retail & Personal,Retail (shopping)
27/05/2024,Visa Purchase                 23May Adobe                Adobe.Ly/,43.99,,2007.11,Home & Property,Technology & Appliances
13/05/2024,Foreign Currency Conversn Fee,0.45,,2051.1,Fees & Charges,Fees & Charges
13/05/2024,Visa Purchase O/Seas          10May Usd9.99 Spred,15.22,,2051.55,Retail & Personal,Retail (shopping)
9/05/2024,Eftpos Debit                  09May11:37 Aussie Broadband Limited\,438.9,,2066.77,Bills & Payments,Telecommunications
8/05/2024,Visa Purchase                 05May Giga Pty Limited     Sydney,46.67,,2505.67,Entertainment & Recreation,Sports & Leisure
6/05/2024,Internet Withdrawal           06May15:26 To 0280074830940,4000,,2552.34,Withdrawals & Transfers,Funds transfer
4/05/2024,Foreign Currency Conversn Fee,0.55,,6552.34,Fees & Charges,Fees & Charges
4/05/2024,Visa Purchase O/Seas          01May Usd11.99 Rg Crownbill.Com,18.53,,6552.89,Retail & Personal,Retail (shopping)
1/05/2024,Admin Happy 154786532,92.5,,6571.42,Bills & Payments,Expenses & Payments
30/04/2024,Account-Keeping Fee,10,,6663.92,Fees & Charges,Fees & Charges
30/04/2024,Fragile To Agile Inv0029,,3987.5,6673.92,Deposits,Deposit
27/04/2024,Visa Purchase                 23Apr Adobe                Adobe.Ly/,43.99,,2686.42,Home & Property,Technology & Appliances
27/04/2024,Foreign Currency Conversn Fee,0.92,,2730.41,Fees & Charges,Fees & Charges
27/04/2024,Visa Purchase O/Seas          24Apr Usd19.95 Mmbill.Com,30.98,,2731.33,Retail & Personal,Retail (shopping)
24/04/2024,Eftpos Debit                  24Apr11:18 Guide Dogs Sant\,84.4,,2762.31,Bills & Payments,Gifts & Donations
13/04/2024,Foreign Currency Conversn Fee,0.45,,2846.71,Fees & Charges,Fees & Charges
13/04/2024,Visa Purchase O/Seas          10Apr Usd9.99 Spred,15.15,,2847.16,Retail & Personal,Retail (shopping)
9/04/2024,Visa Purchase                 05Apr Giga Pty Limited     Sydney,46.67,,2862.31,Retail & Personal,Retail (shopping)
9/04/2024,Eftpos Debit                  09Apr11:37 Aussie Broadband Limited\,438.9,,2908.98,Bills & Payments,Telecommunications
4/04/2024,Foreign Currency Conversn Fee,0.55,,3347.88,Fees & Charges,Fees & Charges
4/04/2024,Visa Purchase O/Seas          01Apr Usd11.99 Rg Crownbill.Com,18.44,,3348.43,Retail & Personal,Retail (shopping)
2/04/2024,Admin Happy 152704728,92.5,,3366.87,Bills & Payments,Expenses & Payments
30/03/2024,Account-Keeping Fee,10,,3459.37,Fees & Charges,Fees & Charges
28/03/2024,Fragile To Agile Inv 0028,,1375,3469.37,Deposits,Deposit
26/03/2024,Visa Purchase                 23Mar Adobe                Adobe.Ly/,43.99,,2094.37,Home & Property,Technology & Appliances
14/03/2024,Foreign Currency Conversn Fee,0.45,,2138.36,Fees & Charges,Fees & Charges
14/03/2024,Visa Purchase O/Seas          11Mar Usd9.99 Spred,15.11,,2138.81,Retail & Personal,Retail (shopping)
9/03/2024,Visa Purchase                 06Mar Giga Pty Limited     Sydney,46.67,,2153.92,Retail & Personal,Retail (shopping)
8/03/2024,Internet Deposit              08Mar14:11 From 0280074494440,,2000,2200.59,Deposits,Deposit
8/03/2024,Eftpos Debit                  08Mar11:37 Aussie Broadband Limited\,438.9,,200.59,Bills & Payments,Telecommunications
6/03/2024,Visa Purchase                 04Mar Cbs Sa - Bdm         Adelaide,106.25,,639.49,Bills & Payments,Professional & Govt services
6/03/2024,Internet Withdrawal           06Mar05:46 Thoughtfully,250,,745.74,Withdrawals & Transfers,Funds transfer
5/03/2024,Visa Purchase                 02Mar Microsoft*Microsoft  Msbill.In,139,,995.74,Entertainment & Recreation,TV
5/03/2024,Foreign Currency Conversn Fee,0.55,,1134.74,Fees & Charges,Fees & Charges
5/03/2024,Visa Purchase O/Seas          02Mar Usd11.99 Rg Crownbill.Com,18.48,,1135.29,Retail & Personal,Retail (shopping)
1/03/2024,Admin Happy 150649054,92.5,,1153.77,Bills & Payments,Expenses & Payments
29/02/2024,Account-Keeping Fee,10,,1246.27,Fees & Charges,Fees & Charges
28/02/2024,Internet Withdrawal           28Feb05:52 Thoughtfully,250,,1256.27,Withdrawals & Transfers,Funds transfer
27/02/2024,Visa Purchase                 25Feb Ezyreg Sa            Adelaide,370.32,,1506.27,Bills & Payments,Professional & Govt services
27/02/2024,Visa Purchase                 23Feb Adobe Systems Pty Lt Sydney,43.99,,1876.59,Home & Property,Technology & Appliances
26/02/2024,Visa Purchase                 22Feb Wink Wealth Pty L Td Frenchs F,137.88,,1920.58,Entertainment & Recreation,TV
22/02/2024,Eftpos Debit                  22Feb11:04 Ozt*The Buzzcocks\,249.65,,2058.46,Entertainment & Recreation,Sports & Leisure
21/02/2024,Internet Withdrawal           21Feb05:47 Therapy Or Tbd Use Wisel,250,,2308.11,Withdrawals & Transfers,Funds transfer
19/02/2024,Visa Purchase                 15Feb Wink Wealth Pty L Td Frenchs F,59.67,,2558.11,Entertainment & Recreation,TV
14/02/2024,Internet Withdrawal           14Feb05:47 Therapy Or Tbd Use Wisel,250,,2617.78,Withdrawals & Transfers,Funds transfer
13/02/2024,Foreign Currency Conversn Fee,0.46,,2867.78,Fees & Charges,Fees & Charges
13/02/2024,Visa Purchase O/Seas          10Feb Usd9.99 Spred,15.4,,2868.24,Retail & Personal,Retail (shopping)
9/02/2024,Visa Purchase                 07Feb 2Co.Com*Revouninstal Amsterdam,19.17,,2883.64,Home & Property,Technology & Appliances
8/02/2024,Visa Purchase                 05Feb Giga Pty Limited     Sydney,46.67,,2902.81,Retail & Personal,Retail (shopping)
8/02/2024,Eftpos Debit                  08Feb12:59 Aussie Broadband Limited\,438.9,,2949.48,Bills & Payments,Telecommunications
8/02/2024,Internet Deposit              08Feb12:58 From 0280074494440,,3000,3388.38,Deposits,Deposit
3/02/2024,Foreign Currency Conversn Fee,0.54,,388.38,Fees & Charges,Fees & Charges
3/02/2024,Visa Purchase O/Seas          01Feb Usd11.99 Rg Crownbill.Com,18.31,,388.92,Retail & Personal,Retail (shopping)
1/02/2024,Admin Happy 148536700,92.5,,407.23,Bills & Payments,Expenses & Payments
31/01/2024,Account-Keeping Fee,10,,499.73,Fees & Charges,Fees & Charges
31/01/2024,Debit Interest,0.06,,509.73,Fees & Charges,Fees & Charges
27/01/2024,Visa Purchase                 23Jan Adobe Systems Pty Lt Sydney,43.99,,509.79,Home & Property,Technology & Appliances
13/01/2024,Foreign Currency Conversn Fee,0.44,,553.78,Fees & Charges,Fees & Charges
13/01/2024,Visa Purchase O/Seas          11Jan Usd9.99 Spred,14.96,,554.22,Retail & Personal,Retail (shopping)
10/01/2024,Visa Purchase                 07Jan Dit - Ezyreg         Adelaide,651.71,,569.18,Transport & Travel,Vehicle Expenses
10/01/2024,Eftpos Debit                  10Jan11:37 Aussie Broadband Limited\,438.9,,1220.89,Bills & Payments,Telecommunications
9/01/2024,Visa Purchase                 06Jan Giga Pty Limited     Sydney,46.67,,1659.79,Retail & Personal,Retail (shopping)
8/01/2024,Internet Deposit              07Jan10:45 From 0280074494440,,1000,1706.46,Deposits,Deposit
3/01/2024,Foreign Currency Conversn Fee,0.53,,706.46,Fees & Charges,Fees & Charges
3/01/2024,Visa Purchase O/Seas          01Jan Usd11.99 Rg Crownbill.Com,17.69,,706.99,Retail & Personal,Retail (shopping)
2/01/2024,Admin Happy 146619592,92.5,,724.68,Bills & Payments,Expenses & Payments
2/01/2024,Overdrawn Fee,15,,817.18,Fees & Charges,Fees & Charges
2/01/2024,Internet Deposit              31Dec16:57 From 0280074494440,,1000,832.18,Deposits,Deposit
30/12/2023,Account-Keeping Fee,10,,-167.82,Fees & Charges,Fees & Charges
30/12/2023,Debit Interest,0.19,,-157.82,Fees & Charges,Fees & Charges
29/12/2023,Admin Happy 146491757,309.38,,-157.63,Bills & Payments,Expenses & Payments
28/12/2023,Visa Purchase                 23Dec Adobe Systems Pty Lt Sydney,43.99,,151.75,Home & Property,Technology & Appliances
20/12/2023,Visa Purchase                 18Dec Neuronau* Temphold-2 Hawthorn,4.57,,195.74,Transport & Travel,Vehicle Expenses
18/12/2023,Visa Purchase                 15Dec Beam Mobility Au     Internet,8.15,,200.31,Bills & Payments,Telecommunications
14/12/2023,Foreign Currency Conversn Fee,0.45,,208.46,Fees & Charges,Fees & Charges
14/12/2023,Visa Purchase O/Seas          12Dec Usd9.99 Spred,15.26,,208.91,Retail & Personal,Retail (shopping)
11/12/2023,Visa Purchase                 07Dec Giga Pty Limited     Sydney,46.67,,224.17,Retail & Personal,Retail (shopping)
8/12/2023,Osko Withdrawal               08Dec12:39 Superhero,1000,,270.84,Withdrawals & Transfers,Withdrawal
8/12/2023,Eftpos Debit                  08Dec11:37 Aussie Broadband Limited\,438.9,,1270.84,Bills & Payments,Telecommunications
8/12/2023,Internet Withdrawal           08Dec06:04 To 105-900 146868640,250,,1709.74,Withdrawals & Transfers,Funds transfer
5/12/2023,Foreign Currency Conversn Fee,0.36,,1959.74,Fees & Charges,Fees & Charges
5/12/2023,Visa Purchase O/Seas          01Dec Usd7.99 Rg Crownbill.Com,12.16,,1960.1,Retail & Personal,Retail (shopping)
1/12/2023,Admin Happy 144861100,92.5,,1972.26,Bills & Payments,Expenses & Payments
1/12/2023,Internet Withdrawal           01Dec15:32 To 0280074494440,12000,,2064.76,Withdrawals & Transfers,Funds transfer
30/11/2023,Account-Keeping Fee,10,,14064.76,Fees & Charges,Fees & Charges
30/11/2023,Fragile To Agile Inv0026,,13860,14074.76,Deposits,Deposit
29/11/2023,Admin Happy 144642756,141.9,,214.76,Bills & Payments,Expenses & Payments
27/11/2023,Visa Purchase                 23Nov Australian Vaporizer Newmarket,136.68,,356.66,Retail & Personal,Medical & Personal care
27/11/2023,Visa Purchase                 23Nov Adobe Creative Cloud Adobe.Ly/,43.99,,493.34,Home & Property,Technology & Appliances
20/11/2023,Visa Purchase                 16Nov Dit - Ezyreg         Adelaide,45,,537.33,Transport & Travel,Vehicle Expenses
16/11/2023,Eftpos Debit                  16Nov12:42 Neuronau* Trip-37\,6.61,,582.33,Transport & Travel,Vehicle Expenses
15/11/2023,Foreign Currency Conversn Fee,0.47,,588.94,Fees & Charges,Fees & Charges
15/11/2023,Visa Purchase O/Seas          12Nov Usd9.99 Spred,15.76,,589.41,Retail & Personal,Retail (shopping)
10/11/2023,Visa Purchase                 07Nov Giga Pty Limited     Sydney,46.67,,605.17,Retail & Personal,Retail (shopping)
8/11/2023,Eftpos Debit                  08Nov11:37 Aussie Broadband Limited\,438.9,,651.84,Bills & Payments,Telecommunications
6/11/2023,Visa Purchase                 03Nov Beam Mobility Au     Internet,7.5,,1090.74,Bills & Payments,Telecommunications
3/11/2023,Internet Withdrawal           03Nov19:57 To 0280074494440,16000,,1098.24,Withdrawals & Transfers,Funds transfer
1/11/2023,Admin Happy 142846667,86.5,,17098.24,Bills & Payments,Expenses & Payments
31/10/2023,Account-Keeping Fee,10,,17184.74,Fees & Charges,Fees & Charges
31/10/2023,Fragile To Agile 0025,,16225,17194.74,Deposits,Deposit
30/10/2023,Visa Purchase                 26Oct Adobe Systems Pty Lt Sydney,43.99,,969.74,Home & Property,Technology & Appliances
24/10/2023,Internet Deposit              24Oct13:34 From 0280074494440,,1000,1013.73,Deposits,Deposit
17/10/2023,Foreign Currency Conversn Fee,0.47,,13.73,Fees & Charges,Fees & Charges
17/10/2023,Visa Purchase O/Seas          13Oct Usd9.99 Spred,15.84,,14.2,Retail & Personal,Retail (shopping)
16/10/2023,Visa Purchase                 13Oct G2Abvshop            Amsterdam,35.95,,30.04,Entertainment & Recreation,TV
14/10/2023,Visa Purchase                 12Oct Sp Aqara Smart Home  Macquarie,1073.97,,65.99,Home & Property,Technology & Appliances
11/10/2023,Visa Purchase                 08Oct Giga Pty Limited     Sydney,46.67,,1139.96,Retail & Personal,Retail (shopping)
10/10/2023,Visa Purchase                 08Oct Neuronau* Temphold-P Hawthorn,3.55,,1186.63,Transport & Travel,Vehicle Expenses
9/10/2023,Eftpos Debit                  09Oct11:37 Aussie Broadband Limited\,438.9,,1190.18,Bills & Payments,Telecommunications
3/10/2023,Foreign Currency Conversn Fee,2.42,,1629.08,Fees & Charges,Fees & Charges
3/10/2023,Visa Purchase O/Seas          01Oct Eur49.00 Mol*Cameralicense.Co,80.77,,1631.5,Home & Property,Technology & Appliances
3/10/2023,Foreign Currency Conversn Fee,2.42,,1712.27,Fees & Charges,Fees & Charges
3/10/2023,Visa Purchase O/Seas          01Oct Eur49.00 Mol*Cameralicense.Co,80.77,,1714.69,Home & Property,Technology & Appliances
2/10/2023,Admin Happy 140860831,86.5,,1795.46,Bills & Payments,Expenses & Payments
2/10/2023,Internet Withdrawal           02Oct11:52 To 0280074494440,6000,,1881.96,Withdrawals & Transfers,Funds transfer
2/10/2023,Internet Withdrawal           02Oct11:52 To 0280074830940,8500,,7881.96,Withdrawals & Transfers,Funds transfer
30/09/2023,Account-Keeping Fee,10,,16381.96,Fees & Charges,Fees & Charges
28/09/2023,Fragile To Agile Inv 023,,15895,16391.96,Deposits,Deposit
27/09/2023,Visa Purchase                 24Sep Kogan.Com F46A79Qy   Melbourne,45,,496.96,Retail & Personal,Retail (shopping)
27/09/2023,Visa Purchase                 24Sep Kogan.Com Bpjjg9V7   Melbourne,45,,541.96,Retail & Personal,Retail (shopping)
26/09/2023,Visa Purchase                 23Sep Adobe Creative Cloud Adobe.Ly/,43.99,,586.96,Home & Property,Technology & Appliances
20/09/2023,Visa Purchase                 17Sep Ebay O*27-10538-6000 Sydney,28.58,,630.95,Retail & Personal,Retail (shopping)
20/09/2023,Visa Purchase                 18Sep Ebay O*08-10552-1831 Sydney,27.05,,659.53,Retail & Personal,Retail (shopping)
12/09/2023,Visa Purchase                 08Sep Giga Pty Limited     Sydney,46.67,,686.58,Retail & Personal,Retail (shopping)
7/09/2023,Eftpos Debit                  07Sep11:37 Aussie Broadband Limited\,438.9,,733.25,Bills & Payments,Telecommunications
6/09/2023,Visa Purchase                 03Sep Ebay O*20-10487-2486 Sydney,147.81,,1172.15,Retail & Personal,Retail (shopping)
4/09/2023,Internet Withdrawal           04Sep14:40 To 0280074494440,17000,,1319.96,Withdrawals & Transfers,Funds transfer
1/09/2023,Admin Happy 138865224,86.5,,18319.96,Bills & Payments,Expenses & Payments
31/08/2023,Account-Keeping Fee,10,,18406.46,Fees & Charges,Fees & Charges
31/08/2023,Fragile To Agile Inv 022,,17765,18416.46,Deposits,Deposit
26/08/2023,Visa Purchase                 23Aug Adobe Creative Cloud Adobe.Ly/,43.99,,651.46,Home & Property,Technology & Appliances
19/08/2023,Internet Withdrawal           18Aug22:59 To 0280074494440,3000,,695.45,Withdrawals & Transfers,Funds transfer
12/08/2023,Visa Purchase                 09Aug Giga Pty Limited     Sydney,46.67,,3695.45,Retail & Personal,Retail (shopping)
7/08/2023,Eftpos Debit                  07Aug11:37 Aussie Broadband Limited\,438.9,,3742.12,Bills & Payments,Telecommunications
1/08/2023,Admin Happy 136758979,86.5,,4181.02,Bills & Payments,Expenses & Payments
31/07/2023,Account-Keeping Fee,10,,4267.52,Fees & Charges,Fees & Charges
31/07/2023,Fragile To Agile Inv 19,,3410,4277.52,Deposits,Deposit
26/07/2023,Visa Purchase                 23Jul Adobe Creative Cloud Adobe.Ly/,43.99,,867.52,Home & Property,Technology & Appliances
21/07/2023,Visa Purchase                 19Jul Wireless Professiona 612806175,104.16,,911.51,Retail & Personal,Retail (shopping)
20/07/2023,Visa Purchase                 18Jul Actnetworks.Com.Au   Murarrie,990,,1015.67,Home & Property,Technology & Appliances
14/07/2023,Visa Purchase                 12Jul Streakwave Pty Ltd   Maffra,29.88,,2005.67,Bills & Payments,Telecommunications
13/07/2023,Visa Purchase                 10Jul Giga Pty Limited     Sydney,46.67,,2035.55,Retail & Personal,Retail (shopping)
7/07/2023,Internet Deposit              07Jul20:28 From 0280074494440,,2000,2082.22,Deposits,Deposit
7/07/2023,Eftpos Debit                  07Jul11:37 Aussie Broadband Limited\,438.9,,82.22,Bills & Payments,Telecommunications
4/07/2023,Eftpos Debit                  04Jul12:12 Ozt*Descendents (Usa)\,169.8,,521.12,Entertainment & Recreation,Sports & Leisure
3/07/2023,Admin Happy 134896427,86.5,,690.92,Bills & Payments,Expenses & Payments
30/06/2023,Account-Keeping Fee,10,,777.42,Fees & Charges,Fees & Charges
27/06/2023,Admin Happy 134464993,80.85,,787.42,Bills & Payments,Expenses & Payments
27/06/2023,Visa Purchase                 23Jun Adobe Creative Cloud Adobe.Ly/,43.99,,868.27,Home & Property,Technology & Appliances
10/06/2023,Foreign Currency Conversn Fee,0.45,,912.26,Fees & Charges,Fees & Charges
10/06/2023,Visa Purchase O/Seas          06Jun Usd10.00 Skype.Com/Go/Bill,15.2,,912.71,Bills & Payments,Telecommunications
7/06/2023,Foreign Currency Conversn Fee,0.45,,927.91,Fees & Charges,Fees & Charges
7/06/2023,Visa Purchase O/Seas          05Jun Usd10.00 Microsoft*Skype,15.25,,928.36,Bills & Payments,Telecommunications
7/06/2023,Eftpos Debit                  07Jun11:37 Aussie Broadband Limited\,438.9,,943.61,Bills & Payments,Telecommunications
6/06/2023,Visa Purchase                 04Jun Ebay O*15-10131-5342 Sydney,29.69,,1382.51,Retail & Personal,Retail (shopping)
5/06/2023,Internet Withdrawal           04Jun16:06 To 0280074494440,15000,,1412.2,Withdrawals & Transfers,Funds transfer
1/06/2023,Admin Happy 132670739,86.5,,16412.2,Bills & Payments,Expenses & Payments
31/05/2023,Account-Keeping Fee,10,,16498.7,Fees & Charges,Fees & Charges
31/05/2023,Fragile To Agile Inv 0017,,16046.25,16508.7,Deposits,Deposit
29/05/2023,Admin Happy 132452960,67.65,,462.45,Bills & Payments,Expenses & Payments
