Date,Description,Debit,Credit,Balance,Category,SubCategory
23/10/2024,Tfr Wdl BPAY Internet         23Oct05:46 0207782150          Sa Water,175.01,,9150.73,Bills & Payments,Utilities & Rates
22/10/2024,Visa Purchase                 20Oct Woolworths Online    Bella Vis,102.9,,9325.74,Food & Beverage,Food & Groceries
22/10/2024,Visa Purchase                 19Oct Ll Mexican Restauran North Ade,37.8,,9428.64,Food & Beverage,Dining out
22/10/2024,Visa Purchase                 19Oct Crown And Anchor Hot Adelaide,17.77,,9466.44,Food & Beverage,Dining out
22/10/2024,Visa Purchase                 19Oct Bakery On O'Connell  North Ade,12.12,,9484.21,Food & Beverage,Food & Groceries
22/10/2024,Visa Purchase                 20Oct Woolworths Online    Bella Vis,6,,9496.33,Food & Beverage,Food & Groceries
22/10/2024,Visa Purchase                 18Oct Bakery On O'Connell  North Ade,5.35,,9502.33,Food & Beverage,Food & Groceries
21/10/2024,Visa Purchase                 18Oct Iramadison           Httpsiram,75,,9507.68,Retail & Personal,Medical & Personal care
21/10/2024,Visa Purchase                 18Oct Prestige Dry Clean   North Ade,66,,9582.68,Home & Property,Services & Tradespeople
21/10/2024,Visa Purchase                 17Oct Mitolo Coffee        Welland,27.68,,9648.68,Food & Beverage,Beverages
21/10/2024,Visa Purchase                 18Oct Neuronau* Temphold-3 Hawthorn,5.59,,9676.36,Transport & Travel,Vehicle Expenses
21/10/2024,Visa Purchase                 18Oct Neuronau* Temphold-V Hawthorn,2.53,,9681.95,Transport & Travel,Vehicle Expenses
21/10/2024,Eftpos Debit                  21Oct13:16 Uber* Trip\,30.21,,9684.48,Transport & Travel,Taxi & Rental car
21/10/2024,Eftpos Debit                  21Oct09:18 Uber* Trip\,35.92,,9714.69,Transport & Travel,Taxi & Rental car
21/10/2024,Eftpos Credit                 21Oct08:26 Uber* Trip\,,35.92,9750.61,Deposits,Deposit
21/10/2024,Tfr Wdl BPAY Internet         21Oct05:41 500015101768        Origin Energy,2090,,9714.69,Bills & Payments,Utilities & Rates
21/10/2024,Eftpos Debit                  20Oct20:25 Uber* Trip\,35.92,,11804.69,Transport & Travel,Taxi & Rental car
21/10/2024,Eftpos Debit                  20Oct13:25 Color Club Pty Ltd    North Adelaidsa Au,21,,11840.61,Retail & Personal,Retail (shopping)
21/10/2024,Eftpos Debit                  19Oct23:37 Uber* Trip\,13.58,,11861.61,Transport & Travel,Taxi & Rental car
19/10/2024,Visa Purchase                 16Oct Costco Wholesale Aus Kilburn,141.91,,11875.19,Food & Beverage,Food & Groceries
19/10/2024,Visa Purchase                 17Oct Aware Women's Health North Ade,105,,12017.1,Retail & Personal,Medical & Personal care
19/10/2024,Visa Purchase                 17Oct Aust Federal Police  Sydney,56.29,,12122.1,Bills & Payments,Professional & Govt services
19/10/2024,Visa Purchase                 17Oct Lucia's Fine Foods   Adelaide,17.19,,12178.39,Food & Beverage,Food & Groceries
19/10/2024,Visa Purchase                 16Oct Bakery On O'Connell  North Ade,13.13,,12195.58,Food & Beverage,Food & Groceries
19/10/2024,Visa Purchase                 17Oct Bobo & Associates Pt Adelaide,8,,12208.71,Retail & Personal,Retail (shopping)
18/10/2024,Visa Purchase                 16Oct Ls Frankly Coffee An Prospect,16,,12216.71,Food & Beverage,Beverages
18/10/2024,Eftpos Debit                  18Oct20:45 Uber* Trip\,11.7,,12232.71,Transport & Travel,Taxi & Rental car
17/10/2024,Visa Purchase                 15Oct Nth Adel Foodland    North Ade,5.12,,12244.41,Food & Beverage,Food & Groceries
17/10/2024,Mcare Benefits 928177555 Gywq,,42.85,12249.53,Government payments,Centrelink payments
17/10/2024,Andrew Kay Manag Wages 13102024,,1198,12206.68,Income,Salary
17/10/2024,Internet Deposit              17Oct05:57 From 0280074494440,,800,11008.68,Deposits,Deposit
16/10/2024,Visa Purchase                 13Oct Nth Adel Foodland    North Ade,18.18,,10208.68,Food & Beverage,Food & Groceries
16/10/2024,Visa Purchase                 12Oct Zambrero Nth Adl     North Ade,14.9,,10226.86,Food & Beverage,Dining out
16/10/2024,Visa Purchase                 12Oct Nth Adel Foodland    North Ade,8.54,,10241.76,Food & Beverage,Food & Groceries
16/10/2024,Eftpos Debit                  16Oct17:00 Color Club Pty Ltd    North Adelaidsa Au,56,,10250.3,Retail & Personal,Retail (shopping)
15/10/2024,Visa Purchase                 13Oct Gn Circleoffriendsa  Summertow,51.63,,10306.3,Bills & Payments,Gifts & Donations
15/10/2024,Visa Purchase                 11Oct Bakery On O'Connell  North Ade,18.18,,10357.93,Food & Beverage,Food & Groceries
15/10/2024,Visa Purchase                 12Oct Bakery On O'Connell  North Ade,15.66,,10376.11,Food & Beverage,Food & Groceries
15/10/2024,Visa Purchase                 12Oct Regency Park Rotary  North Ade,5.5,,10391.77,Bills & Payments,Gifts & Donations
15/10/2024,Visa Purchase                 13Oct Neuronau* Temphold-F Hawthorn,5.08,,10397.27,Transport & Travel,Vehicle Expenses
15/10/2024,Osko Withdrawal               15Oct18:09 Syd Accom Jodi Godby,300,,10402.35,Withdrawals & Transfers,Withdrawal
14/10/2024,Visa Purchase                 11Oct Krung Thep           North Ade,122,,10702.35,Food & Beverage,Dining out
14/10/2024,Visa Purchase                 11Oct Nth Adel Foodland    North Ade,42.85,,10824.35,Food & Beverage,Food & Groceries
14/10/2024,Visa Purchase                 10Oct Color Club Pty Ltd   North Ade,25.25,,10867.2,Retail & Personal,Retail (shopping)
14/10/2024,Visa Purchase                 11Oct Zlr*Haru Sushi       North Ade,10.5,,10892.45,Food & Beverage,Dining out
14/10/2024,Eftpos Debit                  14Oct09:31 Bakery On O'Connell   North Adelaidsa Au,17.47,,10902.95,Food & Beverage,Food & Groceries
14/10/2024,Eftpos Debit                  13Oct14:34 Neuronau* Trip-Kb\,6.61,,10920.42,Transport & Travel,Vehicle Expenses
12/10/2024,Visa Purchase                 10Oct Elysian Salon & Spa  Adelaide,393.35,,10927.03,Retail & Personal,Retail (shopping)
12/10/2024,Visa Purchase                 10Oct Nth Adel Foodland    North Ade,16.15,,11320.38,Food & Beverage,Food & Groceries
12/10/2024,Visa Purchase                 09Oct Bakery On O'Connell  North Ade,15.66,,11336.53,Food & Beverage,Food & Groceries
12/10/2024,Visa Purchase                 10Oct Les Deux Coqs Pty Lt Adelaide,15.64,,11352.19,Food & Beverage,Food & Groceries
12/10/2024,Visa Purchase                 09Oct Mcdonalds Collinswoo Collinswo,13.35,,11367.83,Food & Beverage,Dining out
12/10/2024,Visa Purchase                 09Oct Bakery On O'Connell  North Ade,11.11,,11381.18,Food & Beverage,Food & Groceries
11/10/2024,Visa Purchase                 09Oct South Australia Poli Holden Hi,159,,11392.29,Bills & Payments,Professional & Govt services
11/10/2024,Foreign Currency Conversn Fee,2.05,,11551.29,Fees & Charges,Fees & Charges
11/10/2024,Visa Purchase O/Seas          09Oct Sgd60.00 Spf E03897024,68.52,,11553.34,Bills & Payments,Professional & Govt services
11/10/2024,Visa Purchase                 08Oct Bakery On O'Connell  North Ade,24.24,,11621.86,Food & Beverage,Food & Groceries
11/10/2024,Visa Purchase                 09Oct Prestige Dry Clean   North Ade,16,,11646.1,Home & Property,Services & Tradespeople
11/10/2024,Foreign Currency Conversn Fee,0.16,,11662.1,Fees & Charges,Fees & Charges
11/10/2024,Visa Purchase O/Seas          07Oct Sgd4.99 Amznprimesg Membersh,5.64,,11662.26,Entertainment & Recreation,TV
11/10/2024,Visa Purchase                 09Oct V/Cellars 3327       N Adelaid,0.2,,11667.9,Food & Beverage,Beverages
11/10/2024,Tfr Wdl BPAY Internet         11Oct06:01 500015101776        Origin Energy,228.11,,11668.1,Bills & Payments,Utilities & Rates
10/10/2024,Eftpos Debit                  10Oct12:39 Neuronau* Trip-Kg\,7.63,,11896.21,Transport & Travel,Vehicle Expenses
10/10/2024,Eftpos Debit                  10Oct09:25 Neuronau* Trip-Tv\,6.1,,11903.84,Transport & Travel,Vehicle Expenses
10/10/2024,Internet Deposit              10Oct06:00 From 0280074494440,,800,11909.94,Deposits,Deposit
9/10/2024,Visa Purchase                 07Oct Far Eastern Dept. 00 Taipei Ci,140.61,,11109.94,Food & Beverage,Dining out
9/10/2024,Andrew Kay Manag Wages 06102024,,617,11250.55,Income,Salary
8/10/2024,Foreign Currency Conversn Fee,3.42,,10633.55,Fees & Charges,Fees & Charges
8/10/2024,Visa Purchase O/Seas          04Oct Twd2500.00 Taiwan High Speed Ra,114.29,,10636.97,Bills & Payments,Freight & Postage
8/10/2024,Visa Cash Advance             05Oct Cathay United Bank   Taipei,95.34,,10751.26,Withdrawals & Transfers,Funds transfer
8/10/2024,Foreign Currency Conversn Fee,0.82,,10846.6,Fees & Charges,Fees & Charges
8/10/2024,Visa Purchase O/Seas          06Oct Twd600.00 Taipei 101,27.37,,10847.42,Entertainment & Recreation,Attractions
8/10/2024,Visa Purchase                 04Oct Telstra Prepaid      Melbourne,25,,10874.79,Bills & Payments,Telecommunications
8/10/2024,Visa Purchase                 05Oct Uniqlo               Taipei Ci,9.36,,10899.79,Retail & Personal,Clothing & Shoes
8/10/2024,Eftpos Debit                  08Oct15:57 Uber* Trip\,31.84,,10909.15,Transport & Travel,Taxi & Rental car
4/10/2024,Foreign Currency Conversn Fee,1.21,,10940.99,Fees & Charges,Fees & Charges
4/10/2024,Visa Purchase O/Seas          02Oct Twd884.00 Wellcome-A0,40.45,,10942.2,Food & Beverage,Food & Groceries
3/10/2024,Visa Cash Advance             01Oct Cathay United Bank   Taipei,144.2,,10982.65,Withdrawals & Transfers,Funds transfer
3/10/2024,Visa Cash Advance             02Oct Cathay United Bank   Taipei,143.05,,11126.85,Withdrawals & Transfers,Funds transfer
3/10/2024,Visa Purchase                 01Oct Patreon* Membership  Internet,36.85,,11269.9,Entertainment & Recreation,TV
3/10/2024,Visa Purchase                 30Sep Telstra Prepaid      Melbourne,35,,11306.75,Bills & Payments,Telecommunications
3/10/2024,Visa Purchase                 30Sep Telstra Prepaid      Melbourne,25,,11341.75,Bills & Payments,Telecommunications
2/10/2024,Visa Purchase                 30Sep Brow Threads & Lashe Salisbury,20.26,,11366.75,Retail & Personal,Retail (shopping)
2/10/2024,Visa Purchase                 29Sep Color Club Pty Ltd   North Ade,20.2,,11387.01,Retail & Personal,Retail (shopping)
2/10/2024,Visa Purchase                 30Sep Beam Mobility Austra -,6.12,,11407.21,Bills & Payments,Telecommunications
2/10/2024,Visa Purchase                 30Sep Beam Mobility Austra -,2.02,,11413.33,Bills & Payments,Telecommunications
2/10/2024,Andrew Kay Manag Wages 29092024,,1366.5,11415.35,Income,Salary
2/10/2024,Internet Deposit              02Oct12:49 From 9000204517840,,50,10048.85,Deposits,Deposit
2/10/2024,Internet Deposit              02Oct12:47 From 9000204517840,,5000,9998.85,Deposits,Deposit
1/10/2024,Visa Purchase                 29Sep Sq *Prospect Communi Prospect,20,,4998.85,Food & Beverage,Food & Groceries
1/10/2024,Visa Purchase                 29Sep Sq *Komodo Van       Prospect,18,,5018.85,Food & Beverage,Food & Groceries
1/10/2024,Visa Purchase                 29Sep Sq *Village Asian Gr North Ade,11.6,,5036.85,Food & Beverage,Food & Groceries
1/10/2024,Visa Purchase                 29Sep Sq *Prospect Communi Prospect,10,,5048.45,Food & Beverage,Food & Groceries
1/10/2024,Visa Purchase                 29Sep Sq *Prospect Communi Prospect,9,,5058.45,Food & Beverage,Food & Groceries
1/10/2024,Visa Purchase                 28Sep Bakery On O'Connell  North Ade,6.87,,5067.45,Food & Beverage,Food & Groceries
1/10/2024,Eftpos Debit                  01Oct01:32 Hugh Hamilton Wines\,340,,5074.32,Bills & Payments,Gifts & Donations
30/09/2024,Visa Purchase                 27Sep Zlr*St George's Bake Adelaide,12.4,,5414.32,Food & Beverage,Food & Groceries
30/09/2024,Visa Purchase                 26Sep Brighton & Seacliff  Seacliff,11.8,,5426.72,Food & Beverage,Dining out
30/09/2024,Eftpos Debit                  30Sep09:43 Uber   *Trip Help.Uber.Com\,27.52,,5438.52,Transport & Travel,Taxi & Rental car
30/09/2024,Eftpos Debit                  30Sep15:10 Neuronau* Trip-Ss\,6.61,,5466.04,Transport & Travel,Vehicle Expenses
30/09/2024,Eftpos Debit                  29Sep17:20 Uber* Trip\,12.75,,5472.65,Transport & Travel,Taxi & Rental car
28/09/2024,Visa Purchase                 26Sep Brighton & Seacliff  Seacliff,51,,5485.4,Food & Beverage,Dining out
28/09/2024,Visa Purchase                 26Sep Sq *Beauty On O'Conn North Ade,45,,5536.4,Retail & Personal,Retail (shopping)
28/09/2024,Visa Purchase                 25Sep Bakery On O'Connell  North Ade,35.05,,5581.4,Food & Beverage,Food & Groceries
28/09/2024,Visa Purchase                 26Sep Brighton & Seacliff  Seacliff,22.8,,5616.45,Food & Beverage,Dining out
28/09/2024,Visa Purchase                 26Sep Zambrero Nth Adl     North Ade,14.9,,5639.25,Food & Beverage,Dining out
28/09/2024,Visa Purchase                 26Sep Nth Adel Foodland    North Ade,9.56,,5654.15,Food & Beverage,Food & Groceries
28/09/2024,Visa Purchase                 26Sep Beam Mobility Austra -,3.04,,5663.71,Bills & Payments,Telecommunications
27/09/2024,Deft Payments Deft      24611004,942.99,,5666.75,Bills & Payments,Expenses & Payments
27/09/2024,Visa Purchase                 24Sep Ticketek Web         Sydney,805.3,,6609.74,Entertainment & Recreation,Attractions
27/09/2024,Visa Purchase                 24Sep Bakery On O'Connell  North Ade,15.15,,7415.04,Food & Beverage,Food & Groceries
25/09/2024,Foreign Currency Conversn Fee,0.79,,7430.19,Fees & Charges,Fees & Charges
25/09/2024,Visa Purchase O/Seas          23Sep Usd18.00 Fbi Identification R,26.49,,7430.98,Bills & Payments,Professional & Govt services
25/09/2024,Visa Purchase                 23Sep Sq *Village Asian Gr North Ade,24.7,,7457.47,Food & Beverage,Food & Groceries
25/09/2024,Visa Purchase                 22Sep Nth Adel Foodland    North Ade,24.22,,7482.17,Food & Beverage,Food & Groceries
25/09/2024,Visa Purchase                 22Sep Bakery On O'Connell  North Ade,15.15,,7506.39,Food & Beverage,Food & Groceries
25/09/2024,Visa Purchase                 23Sep Zlr*Haru Sushi       North Ade,10.2,,7521.54,Food & Beverage,Dining out
25/09/2024,Andrew Kay Manag Wages 22092024,,922,7531.74,Income,Salary
24/09/2024,Visa Purchase                 19Sep Targett Medical Pty  North Ade,921.33,,6609.74,Retail & Personal,Retail (shopping)
24/09/2024,Visa Purchase                 22Sep Sq *Graham F Smith P North Ade,20,,7531.07,Bills & Payments,Memberships
24/09/2024,Visa Purchase                 22Sep Sq *Graham F Smith P North Ade,15,,7551.07,Bills & Payments,Memberships
24/09/2024,Visa Purchase                 21Sep Sq *Woodville Concer Croydon P,2,,7566.07,Food & Beverage,Dining out
24/09/2024,Osko Withdrawal               24Sep18:17 10032925 Betta Home Furnishings,267.5,,7568.07,Withdrawals & Transfers,Withdrawal
23/09/2024,Visa Purchase                 20Sep Krung Thep           North Ade,82.35,,7835.57,Food & Beverage,Dining out
23/09/2024,Visa Purchase                 19Sep House Of Health Coll Adelaide,18.8,,7917.92,Food & Beverage,Food & Groceries
23/09/2024,Visa Purchase                 20Sep Krung Thep           North Ade,14,,7936.72,Food & Beverage,Dining out
23/09/2024,Visa Purchase                 19Sep Charlesworth Nuts Pt Adelaide,12.4,,7950.72,Food & Beverage,Food & Groceries
23/09/2024,Visa Purchase                 19Sep Hong Kong Grocery St Adelaide,10.69,,7963.12,Food & Beverage,Food & Groceries
23/09/2024,Visa Purchase                 19Sep North Adelaide News  North Ade,9.9,,7973.81,Entertainment & Recreation,Books & Subscriptions
23/09/2024,Visa Purchase                 20Sep Beam Mobility Austra -,4.57,,7983.71,Bills & Payments,Telecommunications
23/09/2024,Eftpos Debit                  21Sep23:08 Uber* Trip\,1.86,,7988.28,Transport & Travel,Taxi & Rental car
21/09/2024,Visa Purchase                 18Sep Costco Wholesale Aus Kilburn,114.75,,7990.14,Food & Beverage,Food & Groceries
21/09/2024,Visa Purchase                 18Sep Costco Wholesale Aus Kilburn,65,,8104.89,Food & Beverage,Food & Groceries
21/09/2024,Visa Purchase                 19Sep Nth Adel Foodland    North Ade,22.3,,8169.89,Food & Beverage,Food & Groceries
21/09/2024,Visa Purchase                 19Sep Lucia's Fine Foods   Adelaide,17.19,,8192.19,Food & Beverage,Food & Groceries
21/09/2024,Visa Purchase                 19Sep Jeff Ramsey Pharmaci North Ade,14.99,,8209.38,Retail & Personal,Medical & Personal care
21/09/2024,Visa Purchase                 19Sep Sq *Village Asian Gr North Ade,12.14,,8224.37,Food & Beverage,Food & Groceries
21/09/2024,Visa Purchase                 19Sep Cappos Fish Market   Adelaide,12.1,,8236.51,Food & Beverage,Food & Groceries
21/09/2024,Visa Purchase                 19Sep Bobo & Associates Pt Adelaide,8.5,,8248.61,Retail & Personal,Retail (shopping)
21/09/2024,Eftpos Credit                 21Sep14:46 Uber* Trip\,,0.01,8257.11,Deposits,Deposit
21/09/2024,Eftpos Debit                  21Sep14:30 Uber* Trip\,15.49,,8257.1,Transport & Travel,Taxi & Rental car
21/09/2024,Eftpos Debit                  21Sep12:08 Uber* Trip\,15.99,,8272.59,Transport & Travel,Taxi & Rental car
20/09/2024,Visa Purchase                 17Sep Color Club Pty Ltd   North Ade,75.75,,8288.58,Retail & Personal,Retail (shopping)
20/09/2024,Visa Purchase                 18Sep Nth Adel Foodland    North Ade,21.95,,8364.33,Food & Beverage,Food & Groceries
20/09/2024,Eftpos Debit                  20Sep15:22 Neuronau* Trip-Z3\,6.61,,8386.28,Transport & Travel,Vehicle Expenses
20/09/2024,Eftpos Debit                  20Sep09:32 Bakery On O'Connell   North Adelaidsa Au,12.02,,8392.89,Food & Beverage,Food & Groceries
19/09/2024,Visa Purchase                 17Sep Usafoods Aus         Moorabbin,45.88,,8404.91,Home & Property,Technology & Appliances
19/09/2024,Visa Purchase                 17Sep Prestige Dry Clean   North Ade,22,,8450.79,Home & Property,Services & Tradespeople
19/09/2024,Visa Purchase                 16Sep Bakery On O'Connell  North Ade,19.19,,8472.79,Food & Beverage,Food & Groceries
19/09/2024,Visa Purchase                 16Sep Bakery On O'Connell  North Ade,11.11,,8491.98,Food & Beverage,Food & Groceries
19/09/2024,Mcare Benefits 908169934 Gywq,,42.85,8503.09,Government payments,Centrelink payments
19/09/2024,Eftpos Debit                  19Sep10:29 Pro Health Care North North Adelaidsa Au,90.22,,8460.24,Retail & Personal,Medical & Personal care
19/09/2024,Tfr Wdl BPAY Internet         19Sep05:58 5092458412          Revsa - Esl,139.75,,8550.46,Bills & Payments,Tax payments
18/09/2024,Visa Purchase                 14Sep Standpipe Restaurant Port Augu,103.5,,8690.21,Food & Beverage,Dining out
18/09/2024,Visa Purchase                 14Sep Electrical Discounte Port Augu,99.95,,8793.71,Home & Property,Technology & Appliances
18/09/2024,Visa Purchase                 14Sep Cheap As Chips       Port Augu,35.5,,8893.66,Retail & Personal,Retail (shopping)
18/09/2024,Visa Purchase                 15Sep Harrys Homemade Ff   Port Piri,35.45,,8929.16,Food & Beverage,Food & Groceries
18/09/2024,Visa Purchase                 16Sep Nth Adel Foodland    North Ade,24.2,,8964.61,Food & Beverage,Food & Groceries
18/09/2024,Visa Purchase                 14Sep Standpipe Restaurant Port Augu,24,,8988.81,Food & Beverage,Dining out
18/09/2024,Andrew Kay Manag Wages 15092024,,1366.5,9012.81,Income,Salary
18/09/2024,Eftpos Debit                  18Sep15:12 Costco Kilburn Adelaidkilburn      Sa Au,43.39,,7646.31,Food & Beverage,Food & Groceries
17/09/2024,Visa Purchase                 14Sep Mediterranean Cuisin Port Augu,53.8,,7689.7,Food & Beverage,Dining out
17/09/2024,Visa Purchase                 15Sep Sq *Mamma Lou's      Port Augu,51.4,,7743.5,Food & Beverage,Dining out
17/09/2024,Visa Purchase                 13Sep Sq *Little Nibble Co Port Augu,36.8,,7794.9,Entertainment & Recreation,Catering
17/09/2024,Visa Purchase                 13Sep Smp*Hotel Commonweal Port Augu,20.28,,7831.7,Food & Beverage,Dining out
17/09/2024,Visa Purchase                 13Sep Pastoral Hotel Motel Port Augu,19.5,,7851.98,Transport & Travel,Hotels and Accommodation
17/09/2024,Visa Purchase                 14Sep Gppw Port Augusta    Port Augu,18.98,,7871.48,Retail & Personal,Medical & Personal care
17/09/2024,Visa Purchase                 14Sep Port Augusta French  Port Augu,11,,7890.46,Food & Beverage,Food & Groceries
17/09/2024,Visa Purchase                 14Sep The Reject Shop      Port Augu,8,,7901.46,Retail & Personal,Retail (shopping)
17/09/2024,Visa Purchase                 13Sep Smp*Kiplings Bakery  Port Wake,6.51,,7909.46,Food & Beverage,Food & Groceries
17/09/2024,Visa Purchase                 15Sep Sq *Mamma Lou's      Port Augu,6.5,,7915.97,Food & Beverage,Dining out
16/09/2024,Visa Purchase                 12Sep May Q Korean Restaur Adelaide,77.14,,7922.47,Food & Beverage,Dining out
16/09/2024,Visa Purchase                 13Sep Gn Circleoffriendsa  Summertow,51.63,,7999.61,Bills & Payments,Gifts & Donations
16/09/2024,Visa Purchase                 13Sep Port Augusta French  Port Augu,8,,8051.24,Food & Beverage,Food & Groceries
16/09/2024,Visa Purchase                 13Sep Beam Mobility Austra -,6.61,,8059.24,Bills & Payments,Telecommunications
16/09/2024,Visa Purchase                 13Sep Beam Mobility Austra -,4.59,,8065.85,Bills & Payments,Telecommunications
16/09/2024,Eftpos Debit                  15Sep22:36 Uber   *Eats Help.Uber.Com\,6.05,,8070.44,Food & Beverage,Dining out
16/09/2024,Eftpos Credit                 15Sep18:37 Uber Eats* Eats\,,6.05,8076.49,Deposits,Deposit
16/09/2024,Eftpos Debit                  15Sep18:08 Uber Eats* Eats\,55.51,,8070.44,Food & Beverage,Dining out
14/09/2024,Visa Purchase                 11Sep Bakery On O'Connell  North Ade,13.74,,8125.95,Food & Beverage,Food & Groceries
14/09/2024,Visa Purchase                 12Sep Nth Adel Foodland    North Ade,6,,8139.69,Food & Beverage,Food & Groceries
13/09/2024,Visa Purchase                 11Sep Aware Women's Health North Ade,38.02,,8145.69,Retail & Personal,Medical & Personal care
13/09/2024,Visa Purchase                 11Sep Nth Adel Foodland    North Ade,7.15,,8183.71,Food & Beverage,Food & Groceries
13/09/2024,Eftpos Debit                  13Sep08:37 Bakery On O'Connell   North Adelaidsa Au,12.02,,8190.86,Food & Beverage,Food & Groceries
12/09/2024,Visa Purchase                 09Sep Rising Dream Pty Ltd North Ade,72,,8202.88,Retail & Personal,Medical & Personal care
12/09/2024,Visa Purchase                 10Sep Prestige Dry Clean   North Ade,26.4,,8274.88,Home & Property,Services & Tradespeople
12/09/2024,Eftpos Credit                 12Sep21:43 Uber* Trip\,,0.01,8301.28,Deposits,Deposit
